Time,MarkerID,Cam_X,Cam_Y,Cam_Z,Map_X,Map_Y,Map_Z
1770241758.62239,2,1.36992,-0.852612,3.4174,1.38146,-0.617228,1.73072
1770241760.65486,2,1.36453,-0.836731,3.4215,1.37698,-0.611842,1.71494
1770241720.56578,1,-0.39276,-0.787219,3.4515,1.37648,1.14545,1.65706
1770241773.69761,3,-0.395713,-0.811978,3.436,1.3756,1.1484,1.68626
1770241758.59106,1,1.38201,-0.848575,3.4125,1.3752,-0.629323,1.72971
1770241720.5889,3,-0.421593,-0.791364,3.442,1.37035,1.17428,1.66543
1770241760.68678,2,1.35388,-0.834542,3.4125,1.36809,-0.601202,1.7176
1770241758.52309,2,1.38277,-0.846141,3.40275,1.36556,-0.630088,1.73253
1770241760.72043,2,1.35253,-0.833739,3.40917,1.36481,-0.599851,1.71859
1770241758.55392,2,1.38234,-0.845898,3.40175,1.36457,-0.629659,1.73283
1770241773.76677,1,-0.195546,-0.238212,3.758,1.36404,0.948225,1.02842
1770241773.69758,2,-0.366563,-0.800678,3.428,1.36301,1.11924,1.68054
1770241773.83417,1,-0.195338,-0.237959,3.754,1.36046,0.948014,1.03022
1770241773.8005,0,-0.195078,-0.237642,3.749,1.35599,0.947751,1.03247
1770241720.58883,2,-0.390373,-0.782429,3.4305,1.35593,1.14305,1.66353
1770241773.65209,2,-0.379735,-0.798692,3.4195,1.35466,1.13241,1.68312
1770241773.65197,1,-0.194818,-0.237325,3.744,1.35151,0.947487,1.03472
1770241760.75592,2,1.36177,-0.826063,3.397,1.35044,-0.609101,1.7181
1770241720.66568,0,-0.194714,-0.237198,3.742,1.34972,0.947381,1.03562
1770241773.73394,1,-0.194662,-0.237135,3.741,1.34883,0.947329,1.03607
1770241773.6975,1,-0.194454,-0.236881,3.737,1.34525,0.947118,1.03787
1770241773.61303,3,-0.429906,-0.796006,3.408,1.34334,1.18257,1.6866
1770241773.61299,2,-0.396988,-0.795656,3.4065,1.34189,1.14965,1.68706
1770241760.78741,2,1.35139,-0.819851,3.3905,1.34169,-0.598728,1.71602
1770241773.61286,1,-0.194194,-0.236564,3.732,1.34077,0.946854,1.04012
1770241758.47941,2,1.38308,-0.834206,3.3808,1.34058,-0.63042,1.73331
1770241758.44561,2,1.39565,-0.8306,3.3775,1.33593,-0.642997,1.73186
1770241760.82206,2,1.35393,-0.815985,3.3822,1.33257,-0.601281,1.71687
1770241720.62076,2,-0.415384,-0.776385,3.404,1.32999,1.16804,1.67169
1770241720.62071,1,-0.391682,-0.771036,3.401,1.32472,1.14433,1.66858
1770241758.38598,2,1.38896,-0.822017,3.36133,1.31763,-0.636321,1.73262
1770241773.56406,1,-0.192841,-0.234916,3.706,1.3175,0.945483,1.05182
1770241773.5641,2,-0.421983,-0.78065,3.382,1.31315,1.17462,1.68648
1770241760.85635,2,1.34354,-0.804014,3.36317,1.31009,-0.590902,1.71615
1770241720.66583,2,-0.414083,-0.767976,3.38067,1.3056,1.16672,1.67621
1770241758.36421,2,1.39861,-0.81494,3.35125,1.30536,-0.645983,1.7316
1770241773.53609,3,-0.462525,-0.778573,3.373,1.3043,1.21516,1.68923
1770241720.66579,1,-0.38462,-0.761633,3.38,1.30185,1.13725,1.67107
1770241773.53605,2,-0.429609,-0.77765,3.369,1.3004,1.18224,1.69045
1770241760.88759,2,1.34709,-0.79671,3.3558,1.30005,-0.594458,1.71356
1770241773.48937,3,-0.465636,-0.776034,3.362,1.29352,1.21826,1.69259
1770241758.32034,1,1.38433,-0.811967,3.339,1.29328,-0.631708,1.73522
1770241720.68985,0,-0.19128,-0.233015,3.676,1.29064,0.9439,1.06533
1770241773.53596,1,-0.190967,-0.232634,3.67,1.28527,0.943584,1.06803
1770241760.91729,2,1.34424,-0.789789,3.342,1.28464,-0.591623,1.71456
1770241773.48933,2,-0.44177,-0.765437,3.356,1.28301,1.19438,1.68647
1770241720.68993,1,-0.405369,-0.757082,3.3598,1.2821,1.15798,1.67734
1770241758.28909,2,1.38938,-0.803197,3.3292,1.28039,-0.636771,1.73259
1770241773.45469,2,-0.449901,-0.763613,3.348,1.27517,1.20251,1.68893
1770241773.45472,3,-0.481787,-0.763156,3.346,1.27319,1.23439,1.68955
1770241773.48924,1,-0.190187,-0.231683,3.655,1.27184,0.942792,1.07478
1770241758.25304,2,1.39416,-0.797928,3.31875,1.26872,-0.641557,1.73332
1770241773.41314,2,-0.476109,-0.761423,3.3384,1.26576,1.22871,1.69189
1770241758.22177,2,1.39089,-0.796072,3.311,1.26109,-0.638296,1.73563
