Time,Cam_X,Cam_Y,Cam_Z,Map_X,Map_Y,Map_Z
1770241750.57058,0.454162,-0.195048,1.624,-0.0408064,0.48842,1.67739
1770241750.57063,0.452789,-0.193246,1.609,-0.0565386,0.489236,1.66936
1770241430.23026,0.00851594,-0.258317,3.238,1.89942,0.498157,1.51192
1770241750.52505,0.451925,-0.194087,1.616,-0.044583,0.498849,1.67856
1770241750.47985,0.454162,-0.195048,1.624,-0.0357036,0.499742,1.68498
1770241430.2301,0.00843704,-0.255924,3.208,1.86821,0.501306,1.51285
1770241750.47979,0.445773,-0.191445,1.594,-0.0570465,0.522513,1.67776
1770241750.43482,0.445773,-0.19424,1.594,-0.0561384,0.52716,1.68436
1770241430.34785,0.00843704,-0.255924,3.208,1.88169,0.530364,1.489
1770241750.43476,0.445773,-0.19424,1.594,-0.0548789,0.531278,1.68812
1770241430.3286,0.00835814,-0.25353,3.178,1.85001,0.5326,1.4916
1770241750.34767,0.445773,-0.19424,1.594,-0.0530632,0.535965,1.69157
1770241430.4274,0.00843704,-0.255924,3.208,1.88803,0.543914,1.47688
1770241430.42735,0.00835814,-0.25353,3.178,1.85612,0.545744,1.48041
1770241430.42957,0.00843704,-0.255924,3.208,1.89073,0.549709,1.47175
1770241750.30271,0.43075,-0.18616,1.55,-0.0828581,0.573481,1.68041
1770241750.25774,0.42686,-0.184479,1.536,-0.0930996,0.585178,1.67899
1770241750.21181,0.407225,-0.185588,1.523,-0.0995063,0.611564,1.68344
1770241432.60673,0.00716149,-0.217232,2.723,1.43349,0.688459,1.35884
1770241431.022,0.00727721,-0.220742,2.767,1.48099,0.689316,1.36235
1770241430.62658,0.00721672,-0.218907,2.744,1.45295,0.691515,1.39894
1770241432.5084,0.00710363,-0.215477,2.701,1.41133,0.692115,1.35708
1770241432.90432,0.00710363,-0.215477,2.701,1.41115,0.693117,1.35708
1770241433.00362,0.00710363,-0.215477,2.701,1.41137,0.693938,1.35708
1770241432.9043,0.00710363,-0.215477,2.701,1.41198,0.695002,1.35708
1770241433.30024,0.00710363,-0.215477,2.701,1.41267,0.696195,1.35708
1770241432.60678,0.00710363,-0.215477,2.701,1.41307,0.696464,1.35708
1770241433.10263,0.00710363,-0.215477,2.701,1.41262,0.696705,1.35708
1770241432.01227,0.00716149,-0.217232,2.723,1.43655,0.69671,1.35884
1770241432.90426,0.00710363,-0.215477,2.701,1.41276,0.696795,1.35708
1770241430.6298,0.00716149,-0.217232,2.723,1.43337,0.69757,1.39259
1770241432.6068,0.00710363,-0.215477,2.701,1.41363,0.697888,1.35708
1770241430.62653,0.00716149,-0.217232,2.723,1.43223,0.697918,1.40329
1770241432.41182,0.0070484,-0.213801,2.68,1.39133,0.698495,1.35541
1770241432.02086,0.00716149,-0.217232,2.723,1.43731,0.698643,1.35884
1770241432.70599,0.00710363,-0.215477,2.701,1.41394,0.698879,1.35708
1770241431.81433,0.00716149,-0.217232,2.723,1.43743,0.69893,1.35884
1770241432.40924,0.0070484,-0.213801,2.68,1.39153,0.698984,1.35541
1770241430.82364,0.00716149,-0.217232,2.723,1.43711,0.700297,1.37251
1770241432.21654,0.00710363,-0.215477,2.701,1.41486,0.700762,1.35708
1770241433.00685,0.0070484,-0.213801,2.68,1.39203,0.70215,1.35541
1770241433.30018,0.0070484,-0.213801,2.68,1.39269,0.702429,1.35541
1770241433.20249,0.0070484,-0.213801,2.68,1.39257,0.702464,1.35541
1770241432.30951,0.0070484,-0.213801,2.68,1.39318,0.702814,1.35541
1770241433.10257,0.0070484,-0.213801,2.68,1.39263,0.703442,1.35541
1770241432.81193,0.0070484,-0.213801,2.68,1.3932,0.704097,1.35541
1770241431.91394,0.00710363,-0.215477,2.701,1.41602,0.704435,1.35708
1770241430.72551,0.00710363,-0.215477,2.701,1.4132,0.70447,1.38559
1770241431.82496,0.00710363,-0.215477,2.701,1.41621,0.704913,1.35708
1770241432.8055,0.0070484,-0.213801,2.68,1.3937,0.704993,1.35541
1770241432.70605,0.0070484,-0.213801,2.68,1.39382,0.705131,1.35541
1770241430.75861,0.00710363,-0.215477,2.701,1.41431,0.70523,1.37978
1770241432.21115,0.00710363,-0.215477,2.701,1.41642,0.705367,1.35708
1770241432.11204,0.00710363,-0.215477,2.701,1.41659,0.705898,1.35708
1770241432.11213,0.00710363,-0.215477,2.701,1.41659,0.705898,1.35708
1770241430.75868,0.00710363,-0.215477,2.701,1.41523,0.705973,1.37526
1770241431.7155,0.00710363,-0.215477,2.701,1.41804,0.708535,1.35708
1770241433.20255,0.00699317,-0.212126,2.659,1.37259,0.708699,1.35373
1770241430.92344,0.00710363,-0.215477,2.701,1.41857,0.70962,1.35708
1770241431.914,0.0070484,-0.213801,2.68,1.39577,0.710176,1.35541
1770241431.61959,0.00710363,-0.215477,2.701,1.41871,0.710393,1.35708
1770241430.92348,0.00710363,-0.215477,2.701,1.419,0.711058,1.35708
1770241431.1217,0.0070484,-0.213801,2.68,1.39637,0.71116,1.35541
1770241431.12165,0.0070484,-0.213801,2.68,1.39654,0.711601,1.35541
1770241431.21973,0.0070484,-0.213801,2.68,1.39664,0.711853,1.35541
1770241431.34605,0.00710363,-0.215477,2.701,1.41952,0.71283,1.35708
1770241431.91403,0.00699317,-0.212126,2.659,1.37552,0.715885,1.35373
1770241431.31936,0.0070484,-0.213801,2.68,1.39836,0.716228,1.35541
1770241431.42399,0.00710363,-0.215477,2.701,1.42116,0.717029,1.35708
1770241431.81427,0.00699317,-0.212126,2.659,1.37644,0.718226,1.35373
1770241432.1121,0.00699317,-0.212126,2.659,1.37645,0.718255,1.35373
1770241430.95322,0.0070484,-0.213801,2.68,1.39933,0.718591,1.35541
1770241431.71558,0.00699317,-0.212126,2.659,1.37692,0.719104,1.35373
1770241431.21978,0.00699317,-0.212126,2.659,1.3771,0.719362,1.35373
1770241431.71556,0.00699317,-0.212126,2.659,1.3774,0.719979,1.35373
1770241430.83582,0.00699317,-0.212126,2.659,1.37781,0.720733,1.35587
